8,8
8,16
8,24
8,32
8,40
8,48
8,56
8,64
8,128
16,8
16,16
16,24
16,32
16,40
16,48
16,56
16,64
16,128
24,8
24,16
24,24
24,32
24,40
24,48
24,56
24,64
24,128
32,8
32,16
32,24
32,32
32,40
32,48
32,56
32,64
32,128
40,8
40,16
40,24
40,32
40,40
40,48
40,56
40,64
40,128
48,8
48,16
48,24
48,32
48,40
48,48
48,56
48,64
48,128
56,8
56,16
56,24
56,32
56,40
56,48
56,56
56,64
56,128
64,8
64,16
64,24
64,32
64,40
64,48
64,56
64,64
64,128
128,128
